indexid,part,microfiche-num,theme,cat,subcat,type
305,6,"[21,32]",Furniture and Decorative Accessories,Furnishing Accessories,Books and Albums,
306,6,"[21,32]",Furniture and Decorative Accessories,Furnishing Accessories,Boxes and Cases,Knife Boxes
307,6,"[21,22]",Furniture and Decorative Accessories,Furnishing Accessories,Boxes and Cases,Boxes and Cases
308,6,"[22,33,35]",Furniture and Decorative Accessories,Furnishing Accessories,Cellarets and Wine Coolers,
309,6,"[22,23,24,25,33,35]",Furniture and Decorative Accessories,Furnishing Accessories,Clocks,
310,6,"[25,33,35]",Furniture and Decorative Accessories,Furnishing Accessories,Decorations,
311,6,[25],Furniture and Decorative Accessories,Furnishing Accessories,Desk Accessories,
312,6,[25],Furniture and Decorative Accessories,Furnishing Accessories,Door Stops,
313,6,"[26,33]",Furniture and Decorative Accessories,Furnishing Accessories,Fire Screens,
314,6,[26],Furniture and Decorative Accessories,Furnishing Accessories,Globes,
315,6,"[26,27,34,35]",Furniture and Decorative Accessories,Furnishing Accessories,Mirrors and Frames,
316,6,"[27,34]",Furniture and Decorative Accessories,Furnishing Accessories,Racks and Stands,
317,6,[27],Furniture and Decorative Accessories,Furnishing Accessories,Safes and Mail Boxes,
318,6,[28],Furniture and Decorative Accessories,Furnishing Accessories,Tobacco Accessories,
319,6,[28],Furniture and Decorative Accessories,Furnishing Accessories,Trays,
320,6,"[28,34]",Furniture and Decorative Accessories,Furnishing Accessories,Trunks and Hat Boxes,
321,6,[29],Furniture and Decorative Accessories,Furnishing Accessories,Vases,
322,6,[29],Furniture and Decorative Accessories,Furnishing Accessories,Wall Pockets,
323,6,"[30,31,32,33,34]",Furniture and Decorative Accessories,,,Oversize Renderings
324,6,[35],Furniture and Decorative Accessories,,,Giant Renderings
325,7,"[1,2,15,25]",Wood Carvings and Weathervanes,Wood Carvings,Marine Carvings,Figureheads and Bowsprits
326,7,"[2,16]",Wood Carvings and Weathervanes,Wood Carvings,Marine Carvings,Billets and Mast Sheathes
327,7,"[3,16,25]",Wood Carvings and Weathervanes,Wood Carvings,Marine Carvings,Stern Pieces and Trailboards
328,7,"[3,16]",Wood Carvings and Weathervanes,Wood Carvings,Marine Carvings,Other Ship Carvings
329,7,"[3,4,16,17]",Wood Carvings and Weathervanes,Wood Carvings,Circus Carvings,
330,7,"[4,17,25]",Wood Carvings and Weathervanes,Wood Carvings,Carousel Carvings,
331,7,"[4,5,6,18,19,20,25]",Wood Carvings and Weathervanes,Wood Carvings,Advertising Figures and Signs,Figures - Cigar Store Indians
332,7,"[6,7,20,21,25]",Wood Carvings and Weathervanes,Wood Carvings,Advertising Figures and Signs,Figures - Shop Figures and Other Cigar Store Figures
333,7,"[7,8,21,25]",Wood Carvings and Weathervanes,Wood Carvings,Advertising Figures and Signs,Signs
334,7,"[8,9,21,22,25]",Wood Carvings and Weathervanes,Wood Carvings,Wooden Sculpture,Human and Religious Figures
335,7,[9],Wood Carvings and Weathervanes,Wood Carvings,Wooden Sculpture,Animals and Birds (except Eagles)
336,7,"[10,22,25]",Wood Carvings and Weathervanes,Wood Carvings,Wooden Sculpture,Eagles
337,7,"[10,11,22]",Wood Carvings and Weathervanes,Wood Carvings,Wooden Sculpture,Decoys
338,7,"[11,22]",Wood Carvings and Weathervanes,Scrimshaw,,
339,7,"[11,12,22,25]",Wood Carvings and Weathervanes,Weathervanes and Whirligigs,Weathervanes,Wood
340,7,"[12,13,14,23]",Wood Carvings and Weathervanes,Weathervanes and Whirligigs,Weathervanes,Metal
341,7,"[14,24,25]",Wood Carvings and Weathervanes,Weathervanes and Whirligigs,Whirligigs,
342,7,"[15,16,17,18,19,20,21,22,23,24]",Wood Carvings and Weathervanes,,,Oversize Renderings
343,7,[25],Wood Carvings and Weathervanes,,,Giant Renderings
344,8,"[1,2,3,4,5,6,32,35]",Ceramics and Glass,Ceramics,Earthenware,Earthenware
345,8,[6],Ceramics and Glass,Ceramics,Earthenware,Majolica
346,8,[6],Ceramics and Glass,Ceramics,Earthenware,Lusterware
347,8,"[7,8,9,10,11,12,13,14,15,16,32,33]",Ceramics and Glass,Ceramics,Stoneware,
348,8,[16],Ceramics and Glass,Ceramics,Ironstone,
349,8,"[16,17,18,33]",Ceramics and Glass,Ceramics,Porcelain,
350,8,"[18,33]",Ceramics and Glass,Ceramics,Tiles and Plaques,
351,8,"[19,34]",Ceramics and Glass,Ceramics,Ceramic Figures,
352,8,"[19,20,35]",Ceramics and Glass,Chalkware,,
353,8,"[20,21,22,23,24]",Ceramics and Glass,Glass,Free Blown,
354,8,"[24,25,26,27,28,34,35]",Ceramics and Glass,Glass,Mold Blown,
355,8,"[28,29,30,34,35]",Ceramics and Glass,Glass,Pressed Glass,
356,8,[31],Ceramics and Glass,Glass,Painted Glass and Decorated Glass,
357,8,"[32,33,34]",Ceramics and Glass,,,Oversize Renderings
358,8,[35],Ceramics and Glass,,,Giant Renderings
359,9,"[1,2,3,4,5,6]",Silver Copper Pewter and Toleware,Silver,,
360,9,"[6,7,8,9]",Silver Copper Pewter and Toleware,Pewter,,
361,9,"[9,10,11]",Silver Copper Pewter and Toleware,Toleware,,
362,10,"[1,2,3,4,12,13,14,15,21]",Toys and Musical Instruments,Toys,Dolls,
363,10,"[4,15]",Toys and Musical Instruments,Toys,Dolls Accessories,
364,10,"[5,16,17,21]",Toys and Musical Instruments,Toys,Marionettes and Puppets,
365,10,"[6,17,18,21]",Toys and Musical Instruments,Toys,Animals,
366,10,"[6,18,21]",Toys and Musical Instruments,Toys,Vehicles,
367,10,"[7,8,9,18,19]",Toys and Musical Instruments,Toys,Banks and Mechanical Toys,
368,10,"[9,19,20]",Toys and Musical Instruments,Toys,Toys,
369,10,[10],Toys and Musical Instruments,Games,,
370,10,[10],Toys and Musical Instruments,Musical Instruments,Percussion Instruments,Bells
371,10,"[10,20]",Toys and Musical Instruments,Musical Instruments,Percussion Instruments,Drums
372,10,"[10,20]",Toys and Musical Instruments,Musical Instruments,Percussion Instruments,Piano
373,10,[10],Toys and Musical Instruments,Musical Instruments,Percussion Instruments,Rattles and Alarms
374,10,"[11,20]",Toys and Musical Instruments,Musical Instruments,String Instruments,
375,10,"[11,20]",Toys and Musical Instruments,Musical Instruments,Wind Instruments including Fifes Trumpets and Organs,
376,10,"[11,20]",Toys and Musical Instruments,Musical Instruments,Firemen's Speaking Trumpets,
377,10,"[12,13,14,15,16,17,18,19,20]",Toys and Musical Instruments,,,Oversize Renderings
378,10,[21],Toys and Musical Instruments,,,Giant Renderings
